Info 0    [17:10:10.695] Starting TS Server
Info 1    [17:10:10.702] Version: 4.1.3
Info 2    [17:10:10.702] Arguments: /usr/local/bin/node /usr/local/bin/tsserver --logFile /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/p7/jx08ncmj7nvb0kfzf27764240000gn/T/71ac3d83906ecef52ed9f475839695d6/tscancellation*
Info 3    [17:10:10.702] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [17:10:10.702] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [17:10:10.734] Search path: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/resources/js/router
Info 6    [17:10:10.736] For info: /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/resources/js/router/index.js :: No config files found.
Info 7    [17:10:10.745] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [17:10:17.947] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 7198.684987068176ms
Info 9    [17:10:17.947] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [17:10:17.947] 	Files (181)

Info 11   [17:10:17.947] -----------------------------------------------
Info 12   [17:10:18.004] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [17:10:19.106] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true Elapsed: 1102.2765216827393ms
Info 14   [17:10:19.106] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [17:10:19.106] 	Files (50)

Info 16   [17:10:19.106] -----------------------------------------------
Info 17   [17:10:19.211] Before ensureProjectForOpenFiles:
Info 18   [17:10:19.211] After ensureProjectForOpenFiles:
Info 19   [17:10:19.211] got projects updated in background, updating diagnostics for /Users/karlhex/WorkSpace/src/FlyingWings/FlyingERP/resources/js/router/index.js
Info 20   [17:10:22.652] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [17:10:22.758] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 105.8949179649353ms
Info 22   [17:10:22.758] Different program with same set of files:: structureIsReused:: 2
Info 23   [17:10:24.073] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [17:10:24.127] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 54.69436979293823ms
Info 25   [17:10:24.128] Different program with same set of files:: structureIsReused:: 2
Info 26   [17:10:25.988] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [17:10:25.993] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 4.524439811706543ms
Info 28   [17:10:27.175] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [17:10:27.223] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 47.51875591278076ms
